RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,4/30/2010,7/31/2010,10/31/2010,1/31/2011,4/30/2011,7/31/2011,10/31/2011,1/31/2012,4/30/2012,7/31/2012,10/31/2012,1/31/2013,4/30/2013,7/31/2013,10/31/2013,1/31/2014,4/30/2014,7/31/2014,10/31/2014,1/31/2015,4/30/2015,7/31/2015,10/31/2015,1/31/2016,4/30/2016,7/31/2016,10/31/2016,1/31/2017,4/30/2017,7/31/2017,10/31/2017,1/31/2018,4/30/2018,7/31/2018,10/31/2018,1/31/2019,4/30/2019,7/31/2019,10/31/2019,1/31/2020,4/30/2020,7/31/2020,10/31/2020
394913,1,New York,msa,NY,393250.0156,393369.4863,393996.0598,392619.7458,387696.3279,384955.097,380745.9145,376023.8484,371435.8679,371032.3702,372730.1365,372707.5259,373606.6748,376547.0387,381005.2606,386921.8321,390552.8774,397515.995,402984.5525,405166.3636,407744.5604,409017.1627,412778.2402,420015.4036,426662.1552,429690.6762,433786.5993,435524.1542,441981.5285,449815.1272,456181.4293,461150.436,466155.6586,471355.4681,478511.9956,483358.4348,485878.5958,491592.6522,494990.1142,495244.5467,500297.5296,507442.7354,508722.538,513407.1615
753899,2,Los Angeles,msa,CA,401731.3632,404228.809,405565.7337,394417.7178,387880.0748,385035.9706,377629.0878,368875.1347,366657.7937,360340.9053,361538.9967,378084.4402,397667.3331,406180.0319,426021.0367,451040.1645,467135.9662,470585.8281,476650.7687,488814.3594,502650.7643,504921.7718,507532.6411,500086.007,495626.3714,525210.1775,535986.7496,521564.6028,530082.604,564641.2007,577268.8845,580108.1964,595643.9172,616790.7248,628422.4915,648758.6499,654692.6964,635916.8421,633003.1891,649509.4422,664178.0866,667424.6508,663362.1667,692012.7029
394463,3,Chicago,msa,IL,199431.696,198232.5065,196571.0991,191335.6732,184475.4292,180336.2554,177606.0307,173642.6772,169055.1594,166280.0166,165669.8363,165569.7939,165478.7772,169387.5888,173920.3235,179069.9616,184032.8542,187961.5044,191151.6471,193030.4529,194590.391,195971.2803,198356.6399,200930.2354,204431.4443,207166.2227,209022.2485,210624.9512,214049.992,218289.2471,219926.7629,221751.3292,225597.7781,229718.842,230817.3833,230974.1403,232750.3961,235990.3916,236429.0595,235651.4118,237600.3105,241219.7492,240378.1037,244713.141
394692,5,Houston,msa,TX,147946.8649,148701.3101,148426.4459,145496.9249,143911.523,141837.4455,140670.2007,140288.9247,138823.6998,139319.4428,139890.5164,141077.4522,142114.5025,144523.068,148507.5657,152635.6536,156598.1806,160919.8664,165283.1018,169699.1014,174569.7225,179370.5093,183396.5762,186867.2663,189899.5195,192309.0195,194056.1313,195570.1423,197794.3641,199499.5275,201113.6825,202573.2053,204792.7989,206852.3601,209580.0905,211804.3271,214101.5644,216319.013,217382.7596,218827.8415,221571.1254,223705.3914,224056.8541,229096.1869
395209,6,Washington,msa,VA,317421.3087,320766.9267,322626.5844,319013.4466,316056.2403,316878.0593,315071.8342,311860.2639,311741.7211,314980.6126,320358.3495,327111.242,333610.0644,339723.3942,346802.0644,353930.9589,360011.3182,364736.6563,367270.0616,368459.7952,370259.6321,372331.7658,373048.889,376176.526,380181.2644,381724.8383,382005.3643,383412.1023,389090.9282,394125.1336,395119.2774,397691.4245,402666.3569,407026.4915,409827.7026,412891.3356,415670.437,420981.3035,423448.5081,425647.191,431645.0223,439479.051,441351.9933,453061.4221
394974,7,Philadelphia,msa,PA,216755.9435,217102.7352,217476.5753,213741.0189,209293.6192,206989.2578,203136.8596,199890.8072,197432.3643,196912.1453,196660.3957,195529.4192,195589.8189,196923.5645,198660.5535,199942.2392,201804.7547,202767.1053,204225.6767,204211.4177,204636.9156,206106.0205,207964.05,210576.9718,212264.6516,213752.5874,215592.1392,218006.2726,220494.5952,222544.339,225169.7884,227139.2711,230444.4335,233560.4466,234595.6923,236292.024,238727.9052,242050.5684,243968.337,245721.8075,249658.2818,255632.5195,257651.7523,264235.4041
394856,8,Miami,msa,FL,164089.7495,163269.0316,160473.8411,156254.7981,152199.6279,149278.6192,146486.3058,145125.481,145493.6254,145875.7322,147995.9946,151376.0224,157031.311,164698.4282,172699.6895,180345.4529,187025.3473,193645.0253,200032.9328,205169.4239,210722.9406,215595.4383,220910.543,226980.9577,232245.1339,237138.9384,242270.5992,247265.1909,251188.7546,256599.2524,261160.8755,265956.9484,271571.2273,275271.0359,279609.1092,283784.6361,288278.1584,290433.8192,290369.0771,292639.7397,298683.5922,303694.724,303224.8438,310273.8491
394347,9,Atlanta,msa,GA,151192.6606,149969.8833,148691.2667,143000.6248,137692.2291,133313.0428,127570.9179,125838.9855,124184.6869,124281.2367,126019.5623,127473.2245,129698.401,134146.7342,141424.3458,147515.3746,152790.061,157649.0506,161767.2475,164371.7145,167266.4985,170076.5155,173495.7648,177226.3735,181157.0207,184979.8767,187898.5388,190319.3413,194785.3832,199139.8535,202579.3223,206147.4113,211627.4653,216887.6827,220852.5172,225272.3919,229926.2217,233606.5907,235519.733,237753.9242,242352.9026,246886.7834,248091.2475,256105.2809
394404,10,Boston,msa,MA,324785.7052,328619.1477,329844.4589,326404.7057,323702.8343,320222.7449,317894.6394,313819.141,310070.3668,310629.7767,314980.8385,318788.9629,324781.1355,330412.9159,336541.2967,343825.5419,351621.747,357250.721,362029.2318,364126.8147,369656.1897,376557.8672,380769.4116,388460.2264,396765.3709,403139.5164,408624.2279,413155.5471,422061.6667,429898.6219,438092.2174,444107.8158,450563.2812,459214.7399,467565.8024,472057.0514,471834.3207,474641.4925,477351.8929,477998.1921,483646.3416,492891.2566,496387.2573,510695.0885
395057,12,San Francisco,msa,CA,472317.8491,477516.2598,476182.6067,468804.841,458621.1548,449944.0258,439868.6862,431982.4456,427206.4552,427000.098,438102.4383,460404.9369,485725.7,511279.8688,546876.9976,570662.4572,588200.9538,606898.8085,624087.3573,636644.6141,658699.3913,684489.5582,708053.8034,731615.2519,755931.2695,777665.9322,775632.733,774232.8841,789840.6939,808057.3812,820679.3088,837335.0719,869386.2901,898761.9387,919146.815,924028.424,921846.3511,912374.6032,912056.8999,917556.2161,925278.9995,940626.6229,932426.5937,955291.0163
